Idx	Frequency	Coverage (%)	Phrase
1	289674	15.08	. <::::>
2	63187	16.24	,
3	38311	18.43	. <::::> he
4	26551	19.86	. <::::> it
5	17410	20.11	and
6	16657	20.29	the
7	10742	20.52	was
8	9895	20.59	''
9	9882	21.20	. <::::> she
10	9634	21.40	is
11	8985	21.86	. <::::> however
12	7899	22.32	. <::::> it is
13	7245	22.73	. <::::> they
14	6967	22.82	a
15	6246	22.91	in
16	6241	23.07	he
17	6169	23.42	. <::::> it was
18	5599	23.74	. <::::> this
19	5504	23.91	also
20	5449	24.03	-
21	4955	24.24	. <::::> the
22	4521	24.52	. <::::> he was
23	4100	24.58	of
24	3829	24.67	it
25	3786	24.91	. <::::> he is
26	3271	24.96	to
27	3088	25.03	that
28	2767	25.11	were
29	2679	25.16	on
30	2664	25.23	are
31	2624	25.27	with
32	2425	25.35	then
33	2209	25.39	an
34	2182	25.40	)
35	2121	25.43	for
36	2104	25.50	;
37	2083	25.54	as
38	1835	25.56	(
39	1775	25.60	has
40	1767	25.65	she
41	1764	25.69	had
42	1760	25.72	at
43	1711	25.76	they
44	1695	25.87	. <::::> this is
45	1683	25.89	from
46	1589	25.98	. <::::> this was
47	1569	26.01	his
48	1560	26.04	--
49	1545	26.07	but
50	1543	26.09	'
51	1489	26.15	. <::::> in
52	1456	26.18	which
53	1403	26.27	. <::::> she is
54	1358	26.35	. <::::> however ,
55	1349	26.38	's
56	1341	26.40	by
57	1267	26.47	. <::::> there
58	1265	26.50	its
59	1265	26.59	. <::::> she was
60	1231	26.61	their
61	1190	26.69	. <::::> he also
62	1158	26.76	. <::::> these
63	1157	26.83	. <::::> he played
64	1153	26.87	this
65	1125	26.93	. <::::> his
66	1093	26.98	, he
67	1047	27.02	former
68	1045	27.05	later
69	1036	27.07	became
70	1028	27.14	. <::::> but
71	1028	27.21	. <::::> they are
72	968	27.23	, and
73	912	27.25	who
74	908	27.27	have
75	878	27.33	. <::::> its
76	856	27.34	her
77	827	27.39	. <::::> also
78	790	27.41	or
79	789	27.43	:
80	787	27.47	was a
81	782	27.49	first
82	739	27.53	. <::::> they were
83	731	27.55	plays
84	721	27.56	both
85	720	27.58	only
86	693	27.62	. <::::> it has
87	679	27.64	will
88	677	27.65	not
89	674	27.67	however ,
90	666	27.71	. <::::> it is located
91	659	27.74	, however ,
92	659	27.75	when
93	655	27.76	where
94	654	27.77	him
95	633	27.79	now
96	627	27.80	one
97	627	27.81	two
98	624	27.83	being
99	614	27.84	while
100	613	27.87	. <::::> a
101	595	27.88	during
102	594	27.90	there
103	588	27.93	. <::::> then
104	579	27.95	he was
105	573	27.96	located
106	569	28.00	. <::::> he currently
107	567	28.01	after
108	560	28.02	, which
109	551	28.03	it was
110	548	28.06	. <::::> thus
111	540	28.07	as well as
112	535	28.11	<::::>
113	535	28.15	. <::::> although
114	530	28.16	has been
115	511	28.17	currently
116	502	28.18	including
117	501	28.20	, it
118	501	28.22	was an
119	498	28.24	. <::::> later
120	497	28.25	called
121	493	28.26	it is
122	480	28.28	. <::::> in addition
123	479	28.31	'' . <::::>
124	478	28.31	some
125	470	28.34	. <::::> therefore
126	465	28.35	into
127	464	28.36	them
128	449	28.39	. <::::> it also
129	447	28.40	other
130	444	28.43	. <::::> it 's
131	444	28.44	which was
132	443	28.46	these
133	442	28.46	american
134	441	28.47	and was
135	441	28.50	. <::::> instead
136	439	28.50	and is
137	438	28.51	will be
138	436	28.52	an american
139	435	28.55	. <::::> the song
140	435	28.57	. <::::> here
141	432	28.60	. <::::> and
142	428	28.61	new
143	428	28.62	be
144	424	28.62	many
145	423	28.64	. <::::> as a result
146	422	28.67	. <::::> the film
147	422	28.70	. <::::> he then
148	421	28.71	three
149	416	28.71	to be
150	416	28.72	professional
151	412	28.72	all
152	412	28.73	which is
153	411	28.74	would
154	407	28.75	however
155	407	28.78	. <::::> so
156	403	28.79	made
157	401	28.81	. <::::> their
158	394	28.82	about
159	392	28.83	used
160	385	28.85	. <::::> he has
161	385	28.88	. <::::> the company
162	383	28.89	can
163	380	28.90	since
164	374	28.91	played
165	372	28.93	. <::::> her
166	369	28.94	. <::::> after
167	364	28.95	in the
168	361	28.98	. <::::> that
169	360	28.98	may
170	359	28.99	very
171	359	29.01	. <::::> for example
172	358	29.02	include
173	352	29.03	born
174	348	29.04	eventually
175	347	29.04	second
176	346	29.05	such as
177	341	29.06	. <::::> as
178	341	29.07	began
179	337	29.08	u.s.
180	336	29.10	! <::::>
181	336	29.13	brig . <::::> gen.
182	333	29.14	&
183	332	29.16	. <::::> there are
184	330	29.16	of the
185	328	29.17	. <::::> additionally
186	327	29.18	between
187	326	29.20	. <::::> she also
188	325	29.21	had been
189	324	29.22	, but
190	324	29.23	been
191	322	29.24	named
192	321	29.24	over
193	319	29.25	still
194	318	29.26	. <::::> on
195	312	29.27	included
196	311	29.29	. <::::> he had
197	309	29.30	, she
198	308	29.31	, the
199	308	29.33	. <::::> he became
200	307	29.35	. <::::> while
201	306	29.36	often
202	306	29.37	. <::::> when
203	306	29.39	. <::::> these include
204	304	29.40	until
205	303	29.40	through
206	303	29.41	2
207	301	29.42	so
208	295	29.42	. <::::> at
209	287	29.43	four
210	286	29.43	current
211	282	29.44	us
212	282	29.45	more
213	282	29.47	. <::::> these are
214	280	29.48	. <::::> he served
215	280	29.49	retired
216	279	29.50	took
217	277	29.50	united states
218	276	29.52	. <::::> meanwhile
219	275	29.53	it 's
220	275	29.55	. <::::> he is also
221	274	29.55	several
222	273	29.57	. <::::> the album
223	272	29.58	again
224	270	29.59	) . <::::>
225	269	29.59	subsequently
226	267	29.60	one of
227	267	29.60	have been
228	266	29.61	even
229	265	29.63	. <::::> unfortunately
230	265	29.63	moved
231	264	29.64	because
232	264	29.66	. <::::> though
233	263	29.67	3
234	263	29.67	served
235	257	29.68	british
236	254	29.70	footballer . <::::> he
237	253	29.71	approximately
238	253	29.71	. <::::> she is a member of
239	249	29.71	won
240	249	29.73	. <::::> there is
241	248	29.74	. <::::> some
242	247	29.76	. <::::> they have
243	246	29.77	five
244	245	29.77	released
245	245	29.78	most
246	244	29.78	just
247	244	29.79	came
248	241	29.80	4
249	239	29.82	women 's international
250	237	29.82	originally
251	236	29.83	film
252	234	29.83	within
253	234	29.84	, who
254	234	29.85	. <::::> he is the
255	233	29.86	is a
256	232	29.88	. <::::> this includes
257	230	29.89	. <::::> he was also
258	230	29.90	due to
259	227	29.90	received
260	226	29.91	city
261	226	29.92	, they
262	226	29.93	. <::::> it lies
263	225	29.94	appeared
264	225	29.95	. <::::> the latter
265	223	29.96	known
266	222	29.96	under
267	220	29.97	therefore
268	219	29.97	found
269	219	29.99	. <::::> the school
270	219	29.99	who was
271	218	30.00	people
272	217	30.00	that was
273	217	30.01	though
274	217	30.01	1
275	216	30.02	/
276	214	30.03	. <::::> with
277	214	30.04	. <::::> they also
278	213	30.05	. <::::> the band
279	213	30.06	started
280	213	30.06	following
281	212	30.07	become
282	212	30.07	before
283	212	30.08	playing
284	211	30.08	thus
285	211	30.09	up
286	210	30.10	. <::::> it is also
287	210	30.11	. <::::> he was the
288	209	30.12	like
289	209	30.12	who is
290	206	30.12	held
291	205	30.13	although
292	205	30.13	could
293	204	30.14	early
294	203	30.15	led
295	203	30.16	who is currently a free agent . <::::> he most recently played
296	202	30.17	, was
297	202	30.18	. <::::> during
298	201	30.19	. <::::> it is situated
299	201	30.19	and the
300	200	30.20	use
301	200	30.20	said
302	199	30.21	in order
303	199	30.21	known as
304	199	30.22	around
305	198	30.22	. <::::> today
306	198	30.24	. <::::> nevertheless
307	198	30.24	team
308	197	30.24	usually
309	197	30.25	state
310	197	30.26	. <::::> furthermore
311	197	30.26	based
312	195	30.27	soon
313	194	30.27	did
314	193	30.28	. <::::> the station
315	192	30.30	. <::::> also ,
316	192	30.30	near
317	191	30.30	built
318	189	30.31	performed
319	189	30.32	. <::::> these were
320	188	30.33	n't
321	188	30.33	another
322	188	30.34	. <::::> he is a
323	187	30.35	third
324	186	30.35	he is
325	186	30.36	. <::::> in fact
326	186	30.36	as a
327	186	30.37	. <::::> he won
328	186	30.39	an unrestricted free agent . <::::> he most recently played
329	185	30.40	actually
330	184	30.41	. <::::> currently
331	183	30.41	either
332	183	30.41	back
333	182	30.42	initially
334	182	30.42	large
335	181	30.43	. <::::> he made
336	180	30.43	, with
337	180	30.44	along
338	180	30.44	such
339	179	30.45	worked
340	178	30.46	. <::::> the book
341	178	30.46	went
342	178	30.47	football
343	177	30.47	song
344	177	30.48	10
345	177	30.48	various
346	177	30.48	joined
347	176	30.49	small
348	175	30.50	. <::::> an
349	175	30.50	major
350	174	30.51	. <::::> from
351	174	30.51	six
352	172	30.51	she was
353	172	30.52	. <::::> one
354	171	30.52	having
355	171	30.54	. <::::> the show
356	170	30.54	television
357	170	30.54	left
358	169	30.55	featured
359	169	30.55	includes
360	169	30.56	established
361	167	30.56	. <::::> eventually
362	166	30.57	5
363	166	30.58	. <::::> both
364	166	30.58	any
365	165	30.59	local
366	164	30.59	national
367	164	30.59	. <::::> for
368	164	30.60	previously
369	163	30.60	died
370	162	30.62	. <::::> he later
371	161	30.62	series
372	161	30.62	that is
373	161	30.62	original
374	161	30.63	using
375	161	30.63	those
376	160	30.63	university
377	160	30.64	lead
378	160	30.64	time
379	160	30.64	against
380	160	30.65	opened
381	158	30.65	founded
382	158	30.66	school
383	157	30.67	? <::::>
384	157	30.67	english
385	157	30.67	created
386	157	30.68	returned
387	156	30.68	recorded
388	156	30.69	. <::::> it will be
389	156	30.69	finally
390	153	30.69	, a
391	153	30.70	would be
392	153	30.71	. <::::> he died
393	152	30.71	served as
394	152	30.72	'' ,
395	152	30.72	area
396	151	30.72	considered
397	151	30.73	written
398	151	30.74	. <::::> for example ,
399	151	30.74	6
400	150	30.75	features
401	150	30.75	out
402	150	30.76	. <::::> he plays
403	149	30.77	. <::::> the group
404	149	30.78	. <::::> he is currently
405	148	30.78	canadian
406	148	30.78	produced
407	148	30.79	. <::::> many
408	148	30.80	best
409	148	30.80	. <::::> as such
410	148	30.81	company
411	148	30.82	. <::::> the club
412	147	30.83	. <::::> it had
413	147	30.83	attended
414	146	30.83	off
415	146	30.84	. <::::> it features
416	146	30.85	. <::::> yet
417	146	30.86	. <::::> the team
418	145	30.86	great
419	145	30.87	instead
420	144	30.88	. <::::> these included
421	144	30.88	was the
422	144	30.88	work
423	143	30.89	among
424	143	30.90	. <::::> he was a
425	143	30.91	played competitive hurling in his youth . <::::> he
426	142	30.91	single
427	142	30.92	famous
428	142	30.92	in which
429	141	30.92	group
430	141	30.93	sometimes
431	140	30.94	. <::::> finally
432	140	30.95	. <::::> he last played
433	139	30.95	seven
434	139	30.96	. <::::> ''
435	139	30.96	august
436	138	30.97	international
437	138	30.97	do
438	137	30.97	7
439	137	30.98	got
440	137	30.98	part of
441	137	30.98	together
442	137	30.98	at the
443	136	30.99	, as
444	136	30.99	wrote
445	136	31.00	. <::::> the building
446	136	31.01	. <::::> since
447	136	31.01	region
448	136	31.02	. <::::> by
449	135	31.03	. <::::> the game
450	135	31.03	. <::::> it has been
451	135	31.04	. <::::> all
452	135	31.05	remained
453	135	31.05	mostly
454	134	31.06	. <::::> this included
455	134	31.06	show
456	133	31.06	music
457	133	31.06	own
458	133	31.07	. <::::> the series
459	133	31.08	september
460	133	31.08	. <::::> he said
461	133	31.09	different
462	133	31.10	. <::::> consequently
463	132	31.10	. <::::> that is
464	132	31.11	. <::::> now
465	132	31.11	appearing
466	132	31.12	continued
467	131	31.12	9
468	131	31.12	part
469	131	31.13	is the
470	131	31.14	. <::::> he received
471	130	31.14	was released
472	130	31.15	. <::::> in addition ,
473	130	31.15	january
474	130	31.16	. <::::> she has
475	130	31.16	they were
476	130	31.17	. <::::> he currently plays
477	129	31.18	building
478	129	31.18	february
479	129	31.19	. <::::> i
480	129	31.19	once
481	129	31.20	. <::::> as a result ,
482	129	31.20	becoming
483	129	31.20	formed
484	128	31.21	becomes
485	128	31.22	. <::::> at that time
486	127	31.22	. <::::> moreover
487	127	31.22	along with
488	127	31.23	name
489	127	31.23	. <::::> she then
490	127	31.24	more than
491	126	31.24	12
492	126	31.25	. <::::> afterwards
493	126	31.25	much
494	125	31.25	last
495	125	31.26	album
496	125	31.26	8
497	125	31.26	main
498	125	31.27	they are
499	125	31.27	does
500	124	31.27	late
501	123	31.28	live
502	123	31.28	town
503	123	31.29	. <::::> he joined
504	122	31.29	july
505	122	31.29	, including
506	122	31.30	whom
507	122	31.31	. <::::> there were
508	122	31.31	is located
509	121	31.31	play
510	121	31.32	for the
511	121	31.32	. <::::> there ,
512	121	31.33	. <::::> she is also
513	121	31.33	leading
514	120	31.34	, ''
515	120	31.34	published
516	120	31.34	college
517	120	31.34	mainly
518	120	31.35	members
519	119	31.36	. <::::> there is also
520	119	31.36	where he
521	119	31.36	make
522	119	31.36	the city of
523	118	31.37	eight
524	118	31.37	season
525	117	31.37	developed
526	117	31.37	role
527	116	31.38	. <::::> the song was
528	116	31.38	family
529	116	31.39	march
530	116	31.39	june
531	116	31.40	. <::::> hence
532	116	31.40	a former
533	115	31.41	. <::::> it became
534	115	31.41	popular
535	115	31.41	ended
536	115	31.42	making
537	115	31.42	primarily
538	115	31.42	gave
539	115	31.43	. <::::> he served as
540	115	31.43	generally
541	114	31.44	11
542	114	31.44	stated
543	114	31.44	ever
544	114	31.45	. <::::> subsequently
545	114	31.45	further
546	113	31.45	the first
547	113	31.46	reached
548	113	31.46	. <::::> on the other hand
549	113	31.46	high
550	113	31.47	. <::::> he has been
551	113	31.48	an english
552	112	31.48	2009
553	112	31.48	. <::::> this makes
554	112	31.49	the company
555	112	31.50	. <::::> the couple
556	111	31.50	, it was
557	111	31.50	game
558	111	31.51	throughout
559	111	31.51	officially
560	111	31.51	german
561	111	31.51	himself
562	111	31.52	if
563	111	31.52	here
564	111	31.53	. <::::> he worked
565	111	31.54	. <::::> the city
566	111	31.54	designed
567	110	31.54	number
568	110	31.55	occurred
