Idx	Frequency	Coverage (%)	Phrase
1	1455	14.74	. <::::>
2	341	15.98	,
3	200	18.22	. <::::> he
4	130	19.58	. <::::> it
5	81	19.66	the
6	66	19.78	''
7	65	19.96	and
8	55	20.48	. <::::> it is
9	54	21.00	. <::::> however
10	48	21.24	was
11	43	21.80	. <::::> she
12	41	21.90	is
13	40	21.96	in
14	39	22.10	a
15	38	22.56	. <::::> this
16	32	22.88	. <::::> they
17	28	22.98	-
18	26	23.20	also
19	25	23.40	. <::::> the
20	25	23.68	. <::::> he is
21	24	23.74	to
22	24	23.86	he
23	23	24.06	. <::::> it was
24	22	24.40	. <::::> he was
25	21	24.50	were
26	19	24.56	of
27	16	24.66	on
28	15	24.74	that
29	14	24.78	an
30	14	24.82	it
31	13	24.88	has
32	13	24.96	;
33	12	24.96	(
34	12	25.12	. <::::> she was
35	11	25.22	. <::::> however ,
36	11	25.32	with
37	11	25.48	. <::::> she is
38	11	25.50	had
39	11	25.56	for
40	11	25.68	. <::::> there
41	10	25.72	)
42	10	25.80	are
43	9	25.80	both
44	9	25.82	its
45	9	25.84	at
46	9	25.90	then
47	9	25.92	from
48	9	25.94	as
49	8	25.98	she
50	7	26.04	them
51	7	26.08	. <::::> in
52	7	26.12	there
53	7	26.14	they
54	7	26.20	--
55	7	26.24	was a
56	7	26.28	where
57	6	26.32	'
58	6	26.36	her
59	6	26.36	during
60	6	26.42	, it
61	6	26.48	. <::::> his
62	6	26.52	. <::::> it has
63	6	26.54	which
64	6	26.56	being
65	5	26.58	became
66	5	26.60	four
67	5	26.64	, and
68	5	26.68	to be
69	5	26.68	their
70	5	26.72	. <::::> he played
71	5	26.72	will
72	5	26.74	he was
73	5	26.78	was an
74	5	26.82	it was
75	5	26.84	have
76	5	26.86	former
77	5	26.86	of the
78	5	26.92	, he
79	5	26.92	by
80	5	26.96	later
81	5	27.02	. <::::> this was
82	5	27.06	. <::::> as a result
83	5	27.12	but
84	5	27.16	. <::::> this is
85	4	27.16	song
86	4	27.20	and was
87	4	27.24	. <::::> the song
88	4	27.28	while
89	4	27.32	. <::::> in addition
90	4	27.40	. <::::> he also
91	4	27.40	until
92	4	27.42	's
93	4	27.46	this
94	4	27.48	. <::::> while
95	4	27.48	since
96	4	27.48	formed
97	4	27.50	found
98	4	27.52	can be
99	4	27.52	again
100	4	27.56	. <::::> as
101	4	27.62	however
102	4	27.62	had been
103	4	27.64	him
104	4	27.70	. <::::> these
105	4	27.74	. <::::> he currently
106	4	27.74	his
107	4	27.74	will be
108	4	27.76	located
109	4	27.82	. <::::> they are
110	3	27.84	in the united states
111	3	27.84	the title of
112	3	27.86	. <::::> the song was
113	3	27.86	features
114	3	27.86	5
115	3	27.90	not
116	3	27.90	january
117	3	27.90	played
118	3	27.92	took
119	3	27.92	first
120	3	27.92	an american
121	3	27.98	. <::::> although
122	3	28.02	, however ,
123	3	28.04	. <::::> as a result ,
124	3	28.06	very
125	3	28.10	. <::::> a
126	3	28.14	more
127	3	28.18	. <::::> it also
128	3	28.18	born
129	3	28.20	. <::::> he was also
130	3	28.20	when
131	3	28.22	plays
132	3	28.22	european
133	3	28.28	. <::::> ''
134	3	28.30	over
135	3	28.36	. <::::> it includes
136	3	28.40	. <::::> he then
137	3	28.42	or
138	3	28.42	actually
139	3	28.42	town
140	3	28.46	. <::::> on
141	3	28.48	through
142	3	28.50	. <::::> it lies
143	3	28.52	. <::::> the company
144	3	28.54	made
145	3	28.56	many
146	3	28.56	have been
147	3	28.60	subsequently
148	3	28.64	. <::::> this included
149	3	28.68	. <::::> she later
150	3	28.68	which was
151	3	28.68	city
152	3	28.68	in which
153	3	28.74	. <::::> there are
154	3	28.76	united states
